ranking_gabi_preliminar,municipio,eleitorado,populacao,score_gabi_preliminar,prioridade_visita_gabi,status_articulacao_gabi,meta_votos_referencia_gabi,ranking_base_davi,indice_estrategico_base_davi,prefeito_2024,partido_prefeito_2024,votos_prefeito_2024,margem_vitoria_prefeito,vereadores_mapeados,votos_vereadores_total,potencial_transferencia_vereadores_5pct,potencial_transferencia_vereadores_10pct,potencial_transferencia_vereadores_15pct,relacao_gabi,aderencia_gabi,grupo_politico_gabi,observacao_curadoria_gabi,justificativa_prioridade_gabi,municipio_key
84,Olho d'Água do Casado,7951,8522,0.6342090546770611,Monitoramento,Monitorar,38,80,0.0030722718626477,CARLOS ALBERTO BEZERRA DA SILVA,PT,3267,864.0,0.0,0.0,0,0,0,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,OLHO D'AGUA DO CASADO
85,Belo Monte,6271,5898,0.621978377144077,Monitoramento,Monitorar,38,88,0.0023464114630944,DALMO AUGUSTO DE ALMEIDA JÚNIOR,MDB,3882,2899.0,0.0,3446.0,172,345,517,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BELO MONTE
86,Santa Luzia do Norte,6506,7065,0.6195753571711411,Monitoramento,Monitorar,38,86,0.0025224728249195,FRANCIS CORREIA BARROS DE ARAÚJO,PP,3300,1162.0,0.0,2678.0,134,268,402,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,SANTA LUZIA DO NORTE
87,Campestre,6291,6807,0.6187788281879805,Monitoramento,Monitorar,38,87,0.0024368290765511,NELSON MENDES DA SILVA NETO,MDB,3449,1890.0,0.0,3110.0,156,311,466,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CAMPESTRE
88,Monteirópolis,6489,7341,0.6095245216229458,Monitoramento,Monitorar,38,85,0.0025433150086042,LEONOR MELO MONTEIRO,MDB,2863,783.0,0.0,2470.0,124,247,370,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MONTEIROPOLIS
89,Jacuípe,6216,5432,0.6034180607273703,Monitoramento,Monitorar,38,90,0.0022872367201058,MAYARA CRISTINA CAVALCANTE DE FREITAS,MDB,3718,2383.0,0.0,3371.0,169,337,506,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JACUIPE
90,Roteiro,6014,6607,0.5857995794389337,Monitoramento,Monitorar,38,89,0.0023388230665404,PAULO JOSÉ LEITE TEIXEIRA,MDB,2537,299.0,0.0,3116.0,156,312,467,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,ROTEIRO
91,Jaramataia,5247,5075,0.5229822684316067,Monitoramento,Monitorar,38,95,0.0019763144473968,RICARDO MARTINS BARBOSA,MDB,3527,0.0,0.0,3860.0,193,386,579,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JARAMATAIA
92,Jacaré dos Homens,5451,5182,0.5088267425038341,Monitoramento,Monitorar,38,93,0.0020447383279227,MARIA DO SOCORRO MELO DA SILVA,MDB,2574,628.0,0.0,3248.0,162,325,487,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JACARE DOS HOMENS
93,Minador do Negrão,5300,4938,0.4596944384639462,Monitoramento,Monitorar,38,94,0.001978737789848,JOSIAS SOARES DA SILVA,MDB,2702,1153.0,0.0,2787.0,139,279,418,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MINADOR DO NEGRAO
94,Coqueiro Seco,5582,5700,0.45750770048491984,Monitoramento,Monitorar,38,92,0.0021305350841435,JADIELSON SILVA DO NASCIMENTO,MDB,2295,145.0,0.0,2052.0,103,205,308,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,COQUEIRO SECO
95,Jundiá,4943,4176,0.44190638117754005,Monitoramento,Monitorar,38,99,0.0018054495917311,JORGE SILVIO LUENGO GALVÃO,MDB,2927,1872.0,0.0,3331.0,167,333,500,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JUNDIA
96,Palestina,5118,4410,0.4251068865595261,Monitoramento,Monitorar,38,98,0.0018773955721004,JOSÉ DJALMA GONÇALVES DA SILVA,MDB,3292,2626.0,0.0,2692.0,135,269,404,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PALESTINA
97,Belém,5142,4820,0.4210913337234715,Monitoramento,Monitorar,38,97,0.0019224701853784,ADALBERTO ANTERO TORRES,PP,2568,1390.0,0.0,2473.0,124,247,371,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BELEM
98,Tanque d'Arca,5959,5909,0.3743082097599556,Monitoramento,Monitorar,38,91,0.0022580341148182,JUVENIL LOPES DE OLIVEIRA,MDB,2326,65.0,0.0,0.0,0,0,0,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,TANQUE D'ARCA
99,Olho d'Água Grande,5413,4384,0.28926293706924633,Monitoramento,Monitorar,38,96,0.0019595041784515,MARIA SUZANICE HIGINO BAHÉ,PP,2813,1180.0,0.0,0.0,0,0,0,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,OLHO D'AGUA GRANDE
100,Feliz Deserto,4136,4038,0.2785699075868805,Monitoramento,Monitorar,38,100,0.0015613507390035,JORGE LUIS SILVA NUNES,PP,1918,523.0,0.0,2144.0,107,214,322,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,FELIZ DESERTO
101,Mar Vermelho,3643,3212,0.2446177370894278,Monitoramento,Monitorar,38,101,0.0013431298282833,ANDRÉ BRANDÃO DE ALMEIDA,MDB,2540,0.0,0.0,2682.0,134,268,402,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MAR VERMELHO
102,Pindoba,2989,2786,0.12167183816858407,Monitoramento,Monitorar,38,102,0.0011160409878201,JOSÉ CICERO CARDOSO COSTA,REPUBLICANOS,1785,988.0,0.0,1958.0,98,196,294,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PINDOBA
